idx;Artist;Category;Style;Subject;Medium;Size;Orientation;price
P0001550;Fathi Hassan;Painting;Surrealism;Abstract and non-figurative;Chalk;Large;Horizontal;high
P0001551;George Bahgoury;Photography;Documentary;Architecture and cityscapes;Oil;Large;Squared;high
P0001552;El Teneen;Painting;Documentary;Landscapes,sea and sky;Ceramic;Large;Horizontal;low
P0001553;El Zeft;Print;Art Deco;still life;Ink;Medium;Horizontal;high
P0001554;Emad Ibrahim;Print;Figurative;Abstract and non-figurative;Mono;Small;Squared;very high
P0001555;Hussain Bikar;Photography;Wall;Animals and Birds;Mixed media;Medium;Vertical;very low
P0001556;Hamid Nada;Photography;Modern;transportaion and maps;Watercolur;Small;Vertical;medium
P0001557;El Teneen;Photography;Graffiti;Animals and Birds;Ink;X-Large;Vertical;low
P0001558;Khaled Hafez;Painting;Abstract;Landscapes,sea and sky;Oil;Medium;Horizontal;very high
P0001559;Ghada Amer;Sculpture;Folk Art;Architecture and cityscapes;Metal;Large;Horizontal;very high
P0001560;El Zeft;Painting;Fine Art;transportaion and maps;Acrylic;Large;Horizontal;high
P0001561;Ragheb Ayad;Collage;Modern;still life;Metal;X-Large;Vertical;high
P0001562;Ragheb Ayad;Collage;Conceptual;people and portraits;Lino;Small;Horizontal;high
P0001563;Hussain Bikar;Collage;Street Art;still life;Acrylic;Large;Horizontal;very high
P0001564;Mahmoud Sa'id;Painting;Fine Art;Flowers and plants;Pastal;Small;Vertical;very high
P0001565;El Teneen;Collage;Abstract;Architecture and cityscapes;Charcoal;X-Large;Vertical;low
P0001566;Fathi Hassan;Collage;Graffiti;people and portraits;Watercolur;X-Large;Horizontal;high
P0001567;Fathi Hassan;Collage;Portrait;Flowers and plants;Pastal;Large;Squared;medium
P0001568;Hussain Bikar;Collage;Street Art;transportaion and maps;Charcoal;Medium;Vertical;low
P0001569;Hossam Dirar;Photography;Folk Art;people and portraits;Gouache;Small;Squared;very high
P0001570;Hazem Taha Hussein;Collage;Figurative;Flowers and plants;Gouache;Medium;Squared;very low
P0001571;Tarek El Komi;Photography;Surrealism;transportaion and maps;Mono;Large;Squared;low
P0001572;Tarek El Komi;Print;Documentary;transportaion and maps;Charcoal;X-Large;Vertical;medium
P0001573;Mohamed El Fayoumi;Painting;Wall;Animals and Birds;Pastal;Small;Horizontal;medium
P0001574;Khaled Hafez;Print;Surrealism;transportaion and maps;Watercolur;Small;Vertical;very high
P0001575;Mahmoud Sa'id;Photography;Documentary;Architecture and cityscapes;Lino;Small;Horizontal;medium
P0001576;Hamid Nada;Drawing;Street Art;still life;Lino;X-Large;Squared;low
P0001577;Emad Ibrahim;Sculpture;Documentary;Flowers and plants;Pincil;Large;Squared;medium
P0001578;El Teneen;Painting;Street Art;Landscapes,sea and sky;Mono;Small;Horizontal;low
P0001579;Ghada Amer;Collage;Figurative;people and portraits;Chalk;X-Large;Vertical;high
P0001580;Fathi Hassan;Collage;Documentary;Landscapes,sea and sky;Pincil;Medium;Squared;low
P0001581;Alaa Awad;Print;Surrealism;Flowers and plants;Acrylic;Medium;Vertical;very high
P0001582;Hussain Bikar;Collage;Portrait;Landscapes,sea and sky;Mixed media;Small;Horizontal;low
P0001583;Mohamed El Fayoumi;Print;Pop Art;people and portraits;Gouache;Large;Horizontal;low
P0001584;Tarek El Komi;Print;Art Deco;transportaion and maps;Charcoal;Medium;Vertical;medium
P0001585;Mahmoud Sa'id;Painting;Figurative;Abstract and non-figurative;Ceramic;X-Large;Squared;low
P0001586;Alaa Awad;Drawing;Folk Art;still life;Pastal;Medium;Squared;low
P0001587;Alaa Awad;Drawing;Street Art;Animals and Birds;Charcoal;X-Large;Squared;medium
P0001588;Alaa Awad;Print;Conceptual;transportaion and maps;Mono;X-Large;Vertical;very high
P0001589;Ragheb Ayad;Drawing;Fine Art;Flowers and plants;Wood;X-Large;Vertical;medium
P0001590;Ragheb Ayad;Sculpture;Surrealism;Architecture and cityscapes;Gouache;Large;Squared;high
P0001591;Mohamed El Fayoumi;Drawing;Surrealism;Landscapes,sea and sky;Woodcut;Large;Squared;medium
P0001592;Ganzeer;Collage;Folk Art;Animals and Birds;Lino;Small;Squared;low
P0001593;Adam Henein;Painting;Portrait;people and portraits;Oil;Medium;Vertical;medium
P0001594;Ghada Amer;Collage;Modern;Abstract and non-figurative;Pastal;X-Large;Horizontal;low
P0001595;Khaled Hafez;Photography;Conceptual;still life;Pastal;X-Large;Squared;high
P0001596;Ghada Amer;Painting;Art Deco;Flowers and plants;Ceramic;Small;Horizontal;very high
P0001597;Ragheb Ayad;Collage;Portrait;Flowers and plants;Bronze;Small;Squared;very high
P0001598;Adam Henein;Drawing;Graffiti;Architecture and cityscapes;Ceramic;Medium;Vertical;low
P0001599;Fathi Hassan;Photography;Figurative;Flowers and plants;Metal;Medium;Squared;very high
P0001600;Hussain Bikar;Print;Fine Art;Animals and Birds;Acrylic;Small;Horizontal;low
P0001601;Mohamed El Fayoumi;Sculpture;Wall;Architecture and cityscapes;Pastal;Large;Vertical;medium
P0001602;Abdel Hadi Al Gazzar;Collage;Art Deco;still life;Watercolur;Large;Squared;low
P0001603;Ragheb Ayad;Painting;Abstract;still life;Oil;Large;Horizontal;very high
P0001604;Mahmoud Sa'id;Sculpture;Wall;Animals and Birds;Lino;Medium;Vertical;high
P0001605;Hamid Nada;Print;Documentary;transportaion and maps;Wood;Medium;Vertical;medium
P0001606;Abdel Hadi Al Gazzar;Print;Street Art;people and portraits;Bronze;Large;Horizontal;low
P0001607;George Bahgoury;Painting;Figurative;Architecture and cityscapes;Acrylic;Large;Vertical;very low
P0001608;Adham Wanly;Print;Folk Art;Flowers and plants;Woodcut;Large;Vertical;very high
P0001609;Tarek El Komi;Drawing;Modern;people and portraits;Oil;Small;Vertical;very low
P0001610;George Bahgoury;Painting;Folk Art;Abstract and non-figurative;Chalk;Medium;Squared;medium
P0001611;Mohamed El Fayoumi;Drawing;Art Deco;Landscapes,sea and sky;Gouache;Large;Vertical;low
P0001612;Hussain Bikar;Sculpture;Abstract;Architecture and cityscapes;Metal;Small;Squared;very high
P0001613;Adam Henein;Photography;Conceptual;Landscapes,sea and sky;Pastal;X-Large;Vertical;very low
P0001614;Tarek El Komi;Print;Modern;Landscapes,sea and sky;Lino;X-Large;Vertical;very high
P0001615;Mahmoud Sa'id;Drawing;Art Deco;Landscapes,sea and sky;Watercolur;X-Large;Squared;very low
P0001616;Hussain Bikar;Collage;Fine Art;transportaion and maps;Mono;Large;Squared;medium
P0001617;Khaled Hafez;Drawing;Portrait;still life;Watercolur;Medium;Squared;very low
P0001618;Emad Ibrahim;Painting;Surrealism;Abstract and non-figurative;Bronze;Medium;Vertical;low
P0001619;Hossam Dirar;Photography;Abstract;Abstract and non-figurative;Acrylic;Large;Squared;very low
P0001620;Ghada Amer;Painting;Modern;Landscapes,sea and sky;Ceramic;Large;Horizontal;high
P0001621;Hossam Dirar;Drawing;Wall;people and portraits;Acrylic;Medium;Vertical;very low
P0001622;Hazem Taha Hussein;Drawing;Art Deco;Abstract and non-figurative;Charcoal;Small;Vertical;medium
P0001623;Hussain Bikar;Photography;Fine Art;Abstract and non-figurative;Oil;X-Large;Horizontal;very low
P0001624;Khaled Hafez;Painting;Figurative;transportaion and maps;Watercolur;Medium;Horizontal;low
P0001625;Mahmoud Sa'id;Print;Portrait;transportaion and maps;Mono;Medium;Vertical;high
P0001626;Abdel Hadi Al Gazzar;Drawing;Art Deco;people and portraits;Charcoal;Large;Vertical;low
P0001627;Ghada Amer;Print;Surrealism;Landscapes,sea and sky;Wood;X-Large;Horizontal;medium
P0001628;El Zeft;Collage;Conceptual;still life;Mixed media;X-Large;Squared;low
P0001629;Fathi Hassan;Drawing;Modern;Architecture and cityscapes;Charcoal;Large;Squared;very high
P0001630;El Teneen;Sculpture;Conceptual;Landscapes,sea and sky;Watercolur;Small;Squared;high
P0001631;Tarek El Komi;Sculpture;Surrealism;still life;Gouache;Medium;Vertical;high
P0001632;Ragheb Ayad;Collage;Figurative;Abstract and non-figurative;Watercolur;X-Large;Vertical;very low
P0001633;Adham Wanly;Collage;Wall;Animals and Birds;Bronze;Medium;Squared;low
P0001634;Tarek El Komi;Print;Folk Art;still life;Wood;Medium;Squared;medium
P0001635;Ragheb Ayad;Drawing;Wall;people and portraits;Metal;Medium;Horizontal;low
P0001636;Tarek El Komi;Print;Folk Art;transportaion and maps;Ink;Large;Vertical;low
P0001637;Adham Wanly;Drawing;Fine Art;Abstract and non-figurative;Bronze;X-Large;Squared;very high
P0001638;Khaled Hafez;Painting;Portrait;still life;Wood;Small;Squared;high
P0001639;Hamid Nada;Print;Art Deco;people and portraits;Mono;Large;Squared;very low
P0001640;Emad Ibrahim;Painting;Portrait;transportaion and maps;Ceramic;Large;Horizontal;very low
P0001641;El Zeft;Collage;Surrealism;people and portraits;Oil;X-Large;Squared;high
P0001642;Ragheb Ayad;Sculpture;Conceptual;still life;Oil;Large;Squared;very high
P0001643;Mohamed El Fayoumi;Print;Modern;transportaion and maps;Gouache;Large;Squared;high
P0001644;Fathi Hassan;Print;Modern;Flowers and plants;Gouache;Small;Squared;very low
P0001645;Mohamed El Fayoumi;Collage;Figurative;people and portraits;Woodcut;Medium;Squared;medium
P0001646;El Teneen;Painting;Folk Art;Architecture and cityscapes;Mixed media;Small;Squared;very low
P0001647;Tarek El Komi;Print;Street Art;transportaion and maps;Lino;Small;Squared;medium
P0001648;Adham Wanly;Painting;Figurative;Flowers and plants;Lino;X-Large;Horizontal;high
P0001649;Tarek El Komi;Painting;Wall;Landscapes,sea and sky;Lino;Small;Horizontal;low
P0001650;Hussain Bikar;Drawing;Pop Art;Abstract and non-figurative;Ceramic;X-Large;Squared;low
P0001651;El Teneen;Print;Graffiti;Landscapes,sea and sky;Pincil;Small;Horizontal;low
P0001652;El Teneen;Sculpture;Surrealism;Animals and Birds;Mono;Large;Squared;high
P0001653;Hossam Dirar;Photography;Portrait;still life;Charcoal;X-Large;Vertical;high
P0001654;Emad Ibrahim;Painting;Documentary;Landscapes,sea and sky;Mixed media;Large;Horizontal;very low
P0001655;Tarek El Komi;Drawing;Documentary;Abstract and non-figurative;Mixed media;Medium;Squared;very low
P0001656;Adam Henein;Collage;Conceptual;people and portraits;Woodcut;Small;Squared;high
P0001657;El Zeft;Photography;Fine Art;Flowers and plants;Mono;X-Large;Squared;high
P0001658;Fathi Hassan;Collage;Conceptual;Architecture and cityscapes;Wood;Large;Vertical;high
P0001659;Ganzeer;Print;Art Deco;transportaion and maps;Woodcut;Large;Horizontal;high
P0001660;Adam Henein;Collage;Conceptual;Architecture and cityscapes;Watercolur;Medium;Horizontal;very low
P0001661;Hazem Taha Hussein;Photography;Art Deco;Landscapes,sea and sky;Chalk;Small;Horizontal;high
P0001662;Tarek El Komi;Photography;Conceptual;Animals and Birds;Mixed media;Medium;Horizontal;medium
P0001663;Hamid Nada;Drawing;Abstract;transportaion and maps;Bronze;X-Large;Vertical;high
P0001664;Abdel Hadi Al Gazzar;Drawing;Graffiti;transportaion and maps;Wood;Medium;Squared;high
P0001665;Hazem Taha Hussein;Photography;Folk Art;people and portraits;Watercolur;Medium;Squared;low
P0001666;Khaled Hafez;Collage;Modern;Animals and Birds;Woodcut;Large;Squared;very high
P0001667;Khaled Hafez;Sculpture;Wall;transportaion and maps;Metal;Small;Vertical;low
P0001668;El Zeft;Drawing;Figurative;people and portraits;Wood;X-Large;Vertical;high
P0001669;Hossam Dirar;Painting;Street Art;still life;Gouache;Large;Vertical;high
P0001670;Tarek El Komi;Sculpture;Fine Art;still life;Pincil;Large;Squared;very low
P0001671;El Zeft;Photography;Surrealism;Architecture and cityscapes;Chalk;Large;Squared;very high
P0001672;Alaa Awad;Sculpture;Wall;people and portraits;Woodcut;Medium;Vertical;low
P0001673;Ganzeer;Photography;Abstract;Flowers and plants;Mono;X-Large;Vertical;low
P0001674;El Zeft;Collage;Modern;transportaion and maps;Charcoal;Large;Horizontal;medium
P0001675;El Teneen;Drawing;Graffiti;still life;Acrylic;Medium;Squared;very low
P0001676;Hossam Dirar;Drawing;Modern;Animals and Birds;Oil;Large;Vertical;low
P0001677;El Teneen;Drawing;Art Deco;Abstract and non-figurative;Lino;Medium;Horizontal;high
P0001678;Hossam Dirar;Drawing;Documentary;Architecture and cityscapes;Lino;Large;Horizontal;very low
P0001679;Ganzeer;Painting;Abstract;transportaion and maps;Chalk;Large;Horizontal;very high
P0001680;Ganzeer;Drawing;Conceptual;Architecture and cityscapes;Chalk;Large;Squared;very high
P0001681;El Zeft;Drawing;Modern;Landscapes,sea and sky;Ceramic;Large;Vertical;high
P0001682;Emad Ibrahim;Drawing;Figurative;people and portraits;Acrylic;Small;Vertical;low
P0001683;Adam Henein;Sculpture;Abstract;Flowers and plants;Ink;X-Large;Vertical;medium
P0001684;Hossam Dirar;Drawing;Surrealism;Landscapes,sea and sky;Wood;Medium;Squared;very low
P0001685;Adham Wanly;Drawing;Modern;Landscapes,sea and sky;Bronze;Large;Horizontal;very low
P0001686;Adham Wanly;Photography;Street Art;Landscapes,sea and sky;Lino;Medium;Squared;medium
P0001687;Hamid Nada;Collage;Street Art;still life;Wood;X-Large;Squared;high
P0001688;Mohamed El Fayoumi;Sculpture;Wall;still life;Oil;Medium;Squared;very low
P0001689;Ghada Amer;Print;Street Art;Animals and Birds;Lino;Small;Horizontal;medium
P0001690;Fathi Hassan;Sculpture;Folk Art;Flowers and plants;Metal;X-Large;Vertical;very low
P0001691;Hossam Dirar;Collage;Folk Art;people and portraits;Mono;Large;Squared;high
P0001692;Khaled Hafez;Sculpture;Portrait;transportaion and maps;Gouache;Medium;Vertical;medium
P0001693;Khaled Hafez;Drawing;Portrait;Flowers and plants;Metal;Medium;Horizontal;high
P0001694;Adam Henein;Print;Art Deco;still life;Watercolur;Medium;Vertical;very high
P0001695;Hazem Taha Hussein;Drawing;Graffiti;Architecture and cityscapes;Watercolur;Large;Squared;medium
P0001696;Fathi Hassan;Collage;Fine Art;Architecture and cityscapes;Ink;Small;Vertical;very high
P0001697;Adam Henein;Painting;Abstract;still life;Bronze;Medium;Horizontal;high
P0001698;Khaled Hafez;Collage;Graffiti;Animals and Birds;Mixed media;Large;Squared;high
P0001699;Ghada Amer;Print;Art Deco;people and portraits;Pincil;Large;Vertical;low
P0001700;Hussain Bikar;Collage;Conceptual;Flowers and plants;Watercolur;Large;Squared;low
P0001701;Adam Henein;Sculpture;Art Deco;Abstract and non-figurative;Gouache;X-Large;Squared;very low
P0001702;El Zeft;Collage;Modern;Architecture and cityscapes;Metal;Large;Vertical;very low
P0001703;Fathi Hassan;Collage;Art Deco;Architecture and cityscapes;Lino;Medium;Vertical;high
P0001704;Tarek El Komi;Photography;Documentary;transportaion and maps;Pastal;X-Large;Squared;low
P0001705;El Zeft;Photography;Conceptual;Flowers and plants;Gouache;Medium;Vertical;low
P0001706;Adam Henein;Collage;Wall;Flowers and plants;Watercolur;X-Large;Squared;very high
P0001707;Hussain Bikar;Painting;Art Deco;Architecture and cityscapes;Oil;Medium;Squared;very high
P0001708;Fathi Hassan;Sculpture;Portrait;Abstract and non-figurative;Bronze;Medium;Vertical;medium
P0001709;Mohamed El Fayoumi;Collage;Figurative;still life;Acrylic;Medium;Vertical;medium
P0001710;Khaled Hafez;Photography;Portrait;Flowers and plants;Mono;Small;Vertical;low
P0001711;Ghada Amer;Painting;Graffiti;transportaion and maps;Pastal;Medium;Vertical;low
P0001712;El Zeft;Drawing;Portrait;Animals and Birds;Ceramic;Medium;Vertical;high
P0001713;Tarek El Komi;Sculpture;Modern;Architecture and cityscapes;Bronze;X-Large;Horizontal;high
P0001714;Emad Ibrahim;Drawing;Documentary;people and portraits;Pastal;Large;Vertical;medium
P0001715;Emad Ibrahim;Print;Modern;Architecture and cityscapes;Mono;X-Large;Vertical;very high
P0001716;Fathi Hassan;Collage;Conceptual;Flowers and plants;Acrylic;Small;Horizontal;very low
P0001717;El Teneen;Sculpture;Documentary;people and portraits;Acrylic;Medium;Vertical;very low
P0001718;Mohamed El Fayoumi;Collage;Art Deco;Landscapes,sea and sky;Watercolur;X-Large;Squared;medium
P0001719;George Bahgoury;Sculpture;Art Deco;Abstract and non-figurative;Ceramic;X-Large;Horizontal;high
P0001720;Mahmoud Sa'id;Photography;Folk Art;transportaion and maps;Mono;Small;Vertical;high
P0001721;El Teneen;Painting;Documentary;Landscapes,sea and sky;Mono;Small;Vertical;low
P0001722;Hussain Bikar;Collage;Documentary;Architecture and cityscapes;Pastal;Small;Squared;very low
P0001723;Abdel Hadi Al Gazzar;Collage;Street Art;transportaion and maps;Ceramic;Medium;Squared;low
P0001724;Emad Ibrahim;Drawing;Wall;Architecture and cityscapes;Pincil;Medium;Vertical;low
P0001725;El Zeft;Collage;Wall;Flowers and plants;Mono;X-Large;Squared;low
P0001726;Ragheb Ayad;Print;Street Art;Animals and Birds;Wood;Medium;Squared;medium
P0001727;Adam Henein;Painting;Pop Art;Flowers and plants;Ceramic;X-Large;Squared;medium
P0001728;Khaled Hafez;Print;Pop Art;Landscapes,sea and sky;Gouache;Large;Horizontal;medium
P0001729;Mahmoud Sa'id;Collage;Graffiti;transportaion and maps;Lino;Large;Vertical;very low
P0001730;El Zeft;Photography;Pop Art;Landscapes,sea and sky;Chalk;Large;Horizontal;medium
P0001731;El Teneen;Sculpture;Conceptual;Animals and Birds;Ink;Large;Vertical;low
P0001732;Abdel Hadi Al Gazzar;Print;Graffiti;transportaion and maps;Oil;Large;Squared;very high
P0001733;Hossam Dirar;Sculpture;Graffiti;Landscapes,sea and sky;Chalk;Large;Squared;very high
P0001734;Khaled Hafez;Drawing;Abstract;Flowers and plants;Pincil;X-Large;Squared;very high
P0001735;Alaa Awad;Painting;Figurative;people and portraits;Woodcut;Small;Vertical;very low
P0001736;Adam Henein;Photography;Figurative;people and portraits;Woodcut;Large;Horizontal;low
P0001737;Mahmoud Sa'id;Collage;Folk Art;Architecture and cityscapes;Charcoal;Small;Vertical;very high
P0001738;Hossam Dirar;Photography;Pop Art;people and portraits;Mono;Large;Horizontal;high
P0001739;Khaled Hafez;Sculpture;Fine Art;Abstract and non-figurative;Wood;X-Large;Squared;very high
P0001740;Tarek El Komi;Sculpture;Folk Art;Landscapes,sea and sky;Mono;X-Large;Squared;very low
P0001741;Mahmoud Sa'id;Photography;Modern;Abstract and non-figurative;Lino;Small;Squared;medium
P0001742;Hossam Dirar;Drawing;Street Art;Abstract and non-figurative;Pastal;Small;Vertical;very high
P0001743;Adham Wanly;Collage;Pop Art;people and portraits;Acrylic;Medium;Squared;very high
P0001744;Fathi Hassan;Collage;Folk Art;transportaion and maps;Acrylic;Medium;Horizontal;low
P0001745;Hazem Taha Hussein;Collage;Surrealism;transportaion and maps;Ceramic;Large;Horizontal;very low
P0001746;Mohamed El Fayoumi;Painting;Folk Art;Landscapes,sea and sky;Mixed media;Medium;Vertical;low
P0001747;El Zeft;Collage;Wall;Animals and Birds;Metal;X-Large;Vertical;high
P0001748;Adham Wanly;Sculpture;Documentary;transportaion and maps;Acrylic;Large;Horizontal;low
P0001749;Fathi Hassan;Photography;Fine Art;people and portraits;Mono;X-Large;Horizontal;very high
P0001750;Mohamed El Fayoumi;Painting;Street Art;still life;Pastal;Large;Horizontal;very high
P0001751;Abdel Hadi Al Gazzar;Painting;Abstract;Landscapes,sea and sky;Ceramic;Large;Horizontal;high
P0001752;Alaa Awad;Sculpture;Modern;Architecture and cityscapes;Watercolur;X-Large;Squared;high
P0001753;Abdel Hadi Al Gazzar;Sculpture;Graffiti;Landscapes,sea and sky;Gouache;Small;Squared;high
P0001754;Hussain Bikar;Photography;Folk Art;still life;Metal;Medium;Squared;high
P0001755;George Bahgoury;Sculpture;Wall;still life;Pincil;Large;Horizontal;high
P0001756;Adam Henein;Painting;Folk Art;Architecture and cityscapes;Watercolur;Small;Squared;very low
P0001757;Mohamed El Fayoumi;Drawing;Street Art;Animals and Birds;Pastal;Large;Squared;medium
P0001758;Ragheb Ayad;Drawing;Pop Art;still life;Metal;X-Large;Squared;medium
P0001759;Ragheb Ayad;Photography;Wall;Abstract and non-figurative;Bronze;X-Large;Horizontal;high
P0001760;Fathi Hassan;Sculpture;Portrait;Flowers and plants;Pastal;X-Large;Vertical;very low
P0001761;Fathi Hassan;Painting;Documentary;still life;Woodcut;Small;Squared;very low
P0001762;El Teneen;Photography;Graffiti;Landscapes,sea and sky;Woodcut;Large;Squared;medium
P0001763;Mahmoud Sa'id;Photography;Fine Art;Abstract and non-figurative;Mono;Large;Squared;very high
P0001764;Hussain Bikar;Drawing;Pop Art;Architecture and cityscapes;Metal;Medium;Vertical;very high
P0001765;Abdel Hadi Al Gazzar;Collage;Portrait;Flowers and plants;Chalk;Medium;Vertical;very high
P0001766;Fathi Hassan;Sculpture;Portrait;Animals and Birds;Metal;Large;Squared;low
P0001767;Hussain Bikar;Drawing;Abstract;people and portraits;Mixed media;X-Large;Squared;low
P0001768;Adham Wanly;Collage;Wall;still life;Pincil;X-Large;Horizontal;very high
P0001769;El Zeft;Sculpture;Surrealism;Abstract and non-figurative;Mixed media;Small;Squared;very low
P0001770;Hazem Taha Hussein;Painting;Pop Art;Landscapes,sea and sky;Acrylic;X-Large;Vertical;very low
P0001771;Ghada Amer;Drawing;Pop Art;people and portraits;Acrylic;Small;Squared;very low
P0001772;Fathi Hassan;Collage;Conceptual;Abstract and non-figurative;Woodcut;X-Large;Squared;very low
P0001773;George Bahgoury;Sculpture;Street Art;Landscapes,sea and sky;Charcoal;X-Large;Vertical;high
P0001774;Emad Ibrahim;Collage;Fine Art;still life;Ceramic;Small;Squared;low
P0001775;El Teneen;Drawing;Figurative;Flowers and plants;Chalk;Medium;Horizontal;medium
P0001776;Abdel Hadi Al Gazzar;Sculpture;Conceptual;Animals and Birds;Metal;Medium;Squared;low
P0001777;Ragheb Ayad;Print;Street Art;Flowers and plants;Lino;X-Large;Vertical;medium
P0001778;Abdel Hadi Al Gazzar;Painting;Graffiti;Architecture and cityscapes;Pastal;Large;Vertical;very high
P0001779;Mahmoud Sa'id;Sculpture;Art Deco;Flowers and plants;Gouache;Small;Squared;very high
P0001780;Ganzeer;Drawing;Pop Art;Architecture and cityscapes;Mono;Small;Squared;low
P0001781;Ghada Amer;Photography;Conceptual;Animals and Birds;Lino;X-Large;Horizontal;very low
P0001782;Ganzeer;Drawing;Folk Art;people and portraits;Oil;X-Large;Horizontal;very low
P0001783;Fathi Hassan;Sculpture;Surrealism;Landscapes,sea and sky;Ink;Small;Vertical;medium
P0001784;Hazem Taha Hussein;Painting;Modern;people and portraits;Lino;X-Large;Squared;very high
P0001785;Hossam Dirar;Print;Abstract;Landscapes,sea and sky;Mixed media;Medium;Squared;very high
P0001786;Hazem Taha Hussein;Drawing;Pop Art;Landscapes,sea and sky;Pastal;X-Large;Horizontal;very low
P0001787;Abdel Hadi Al Gazzar;Collage;Wall;transportaion and maps;Charcoal;Medium;Horizontal;very low
P0001788;Mohamed El Fayoumi;Photography;Documentary;Architecture and cityscapes;Metal;Large;Squared;medium
P0001789;Hussain Bikar;Painting;Graffiti;Flowers and plants;Metal;Small;Vertical;medium
P0001790;Tarek El Komi;Drawing;Art Deco;transportaion and maps;Ink;Medium;Squared;medium
P0001791;Abdel Hadi Al Gazzar;Sculpture;Fine Art;people and portraits;Gouache;X-Large;Vertical;low
P0001792;Hossam Dirar;Print;Abstract;transportaion and maps;Oil;Medium;Squared;very high
P0001793;Mohamed El Fayoumi;Print;Conceptual;Abstract and non-figurative;Pastal;Large;Squared;very low
P0001794;Adham Wanly;Print;Street Art;still life;Pincil;Small;Horizontal;very high
P0001795;Abdel Hadi Al Gazzar;Drawing;Surrealism;Landscapes,sea and sky;Wood;Large;Vertical;very low
P0001796;Adam Henein;Painting;Folk Art;Landscapes,sea and sky;Oil;Small;Horizontal;very high
P0001797;Hazem Taha Hussein;Sculpture;Street Art;Abstract and non-figurative;Pincil;Small;Squared;low
P0001798;Ghada Amer;Photography;Portrait;Flowers and plants;Ceramic;Large;Squared;high
P0001799;Ghada Amer;Photography;Fine Art;transportaion and maps;Pincil;X-Large;Squared;low
P0001800;Ghada Amer;Photography;Figurative;transportaion and maps;Wood;Large;Squared;high
P0001801;Tarek El Komi;Print;Street Art;still life;Metal;X-Large;Vertical;very low
P0001802;Hamid Nada;Drawing;Figurative;transportaion and maps;Ceramic;X-Large;Vertical;low
P0001803;Tarek El Komi;Collage;Graffiti;Abstract and non-figurative;Oil;Small;Squared;medium
P0001804;Hazem Taha Hussein;Painting;Abstract;Abstract and non-figurative;Metal;Large;Vertical;high
P0001805;Mahmoud Sa'id;Sculpture;Conceptual;Animals and Birds;Ceramic;Small;Vertical;very high
P0001806;El Zeft;Sculpture;Street Art;transportaion and maps;Mixed media;Medium;Horizontal;high
P0001807;Ganzeer;Print;Pop Art;transportaion and maps;Metal;X-Large;Horizontal;medium
P0001808;George Bahgoury;Collage;Modern;Flowers and plants;Pastal;Small;Vertical;medium
P0001809;Ghada Amer;Drawing;Wall;people and portraits;Pincil;Small;Horizontal;high
P0001810;El Zeft;Photography;Figurative;Landscapes,sea and sky;Mixed media;Small;Squared;medium
P0001811;Ragheb Ayad;Painting;Conceptual;transportaion and maps;Ceramic;Medium;Horizontal;very low
P0001812;Adham Wanly;Sculpture;Portrait;people and portraits;Lino;Medium;Horizontal;high
P0001813;Hossam Dirar;Sculpture;Graffiti;Architecture and cityscapes;Mixed media;Large;Squared;high
P0001814;Mahmoud Sa'id;Drawing;Conceptual;Flowers and plants;Mixed media;Large;Squared;high
P0001815;Tarek El Komi;Painting;Portrait;transportaion and maps;Chalk;Small;Squared;medium
P0001816;Ragheb Ayad;Collage;Art Deco;Architecture and cityscapes;Woodcut;Small;Vertical;very high
P0001817;Fathi Hassan;Print;Graffiti;Animals and Birds;Pincil;Small;Squared;very low
P0001818;Abdel Hadi Al Gazzar;Sculpture;Graffiti;still life;Charcoal;Medium;Vertical;very low
P0001819;Fathi Hassan;Print;Documentary;Animals and Birds;Bronze;X-Large;Vertical;medium
P0001820;Hussain Bikar;Photography;Graffiti;transportaion and maps;Mono;Small;Squared;medium
P0001821;Alaa Awad;Collage;Modern;still life;Mixed media;X-Large;Horizontal;low
P0001822;Emad Ibrahim;Print;Surrealism;Abstract and non-figurative;Wood;Large;Horizontal;very low
P0001823;Ganzeer;Sculpture;Wall;Animals and Birds;Mixed media;Small;Vertical;medium
P0001824;Hussain Bikar;Drawing;Figurative;people and portraits;Acrylic;X-Large;Squared;high
P0001825;Hamid Nada;Sculpture;Modern;Landscapes,sea and sky;Oil;X-Large;Horizontal;low
P0001826;El Zeft;Print;Pop Art;Landscapes,sea and sky;Metal;Small;Vertical;medium
P0001827;Khaled Hafez;Painting;Documentary;transportaion and maps;Lino;Large;Vertical;low
P0001828;Emad Ibrahim;Painting;Abstract;Architecture and cityscapes;Watercolur;Medium;Vertical;low
P0001829;Adam Henein;Print;Abstract;still life;Metal;X-Large;Horizontal;very low
P0001830;Ghada Amer;Collage;Pop Art;Landscapes,sea and sky;Oil;Large;Horizontal;high
P0001831;El Zeft;Print;Figurative;transportaion and maps;Mixed media;Large;Horizontal;high
P0001832;Alaa Awad;Collage;Street Art;still life;Chalk;Small;Vertical;medium
P0001833;Ghada Amer;Photography;Modern;Architecture and cityscapes;Ink;Medium;Vertical;very low
P0001834;George Bahgoury;Photography;Street Art;Abstract and non-figurative;Charcoal;X-Large;Squared;very low
P0001835;El Teneen;Photography;Conceptual;Animals and Birds;Pastal;X-Large;Squared;low
P0001836;Hazem Taha Hussein;Drawing;Graffiti;Architecture and cityscapes;Charcoal;Large;Vertical;very high
P0001837;Tarek El Komi;Sculpture;Folk Art;Landscapes,sea and sky;Charcoal;Large;Squared;very high
